"id","deviceid","timestamp","incidentid","type","location","status","description"
e232f459-4ff8-4cae-b31c-fcf3803d36b3,Vehicle-Charmi-123,2024-10-29 19:03:27.067,"7b5934d5-ed3e-4cba-9e21-0b4a45066a80",Fire,"[53.63258288076066,-3.9578892614277246]",Active,Description of the incident
d896619c-d9df-4b4d-9e56-1f8b0504f15c,Vehicle-Charmi-123,2024-10-29 19:04:13.067,"490c0a08-9c8c-455c-bd4b-f157211a1d4e",Accident,"[53.642034713391595,-3.9750622452259696]",Resolved,Description of the incident
f005b998-0401-4fef-aae1-97148c95b98c,Vehicle-Charmi-123,2024-10-29 19:04:45.067,"9a8f4f2d-de11-4cb6-9c7b-59e4eefdc5c0",Medical,"[53.652129821238255,-3.9929162646309484]",Active,Description of the incident
"68c63034-b151-45c3-9595-461e888e770a",Vehicle-Charmi-123,2024-10-29 19:05:33.067,a2c0cc99-8902-448b-b3e9-3ef7e8ba87b7,Police,"[53.661672937319295,-4.010939359715927]",Active,Description of the incident
"715261d6-23ba-493a-9f1e-34d4fb77284f",Vehicle-Charmi-123,2024-10-29 19:06:04.067,"7d93344f-8b15-40fc-92be-b644995c50cc",Accident,"[53.67113989825307,-4.028105017570533]",Resolved,Description of the incident
d5b8d000-2d41-477b-81e7-210e977041af,Vehicle-Charmi-123,2024-10-29 19:06:35.067,"10580f7f-53f8-4d40-81b5-0b2e01c7fd8b",Medical,"[53.68054729918274,-4.045557691853814]",Active,Description of the incident
c7ecff2d-4a03-4dcb-90fa-c0cb09a30ac1,Vehicle-Charmi-123,2024-10-29 19:07:11.067,e24c9674-81eb-4d34-bea1-c9db797cd459,Fire,"[53.690388390578065,-4.063675722680256]",Active,Description of the incident
"55440dd6-2455-49b3-adcb-5fd1311ee63b",Vehicle-Charmi-123,2024-10-29 19:07:41.067,"05cea127-4ddd-438d-aab1-38cd0cbe18a3",Medical,"[53.69982695695486,-4.080869325147718]",Active,Description of the incident
"5c44a3fa-6dcc-4d7a-a0ad-942f011135d2",Vehicle-Charmi-123,2024-10-29 19:08:24.067,"0469651d-aa4e-461c-b167-03d3c43f8792",Medical,"[53.709320151327766,-4.098012209405823]",Resolved,Description of the incident
"2d6d9def-48e2-4206-8bc9-f40e968b715e",Vehicle-Charmi-123,2024-10-29 19:08:57.067,"84cf9e2f-8c1b-497f-950e-7ba30aa4ec5f",Medical,"[53.71958270611793,-4.116053306988307]",Resolved,Description of the incident
adcda6b0-2a46-4ddf-8360-044b6dea58ad,Vehicle-Charmi-123,2024-10-29 19:09:37.067,"700d4274-e101-470f-9c24-575e0dbd2695",Police,"[53.72957143172425,-4.1334439541195245]",Resolved,Description of the incident
"2a002597-315e-4e9f-9ea4-3a3b6f28f4a2",Vehicle-Charmi-123,2024-10-29 21:45:08.067,bafcec4d-d884-4db3-8196-829bda279e44,Fire,"[55.76951433964169,-7.799424935364739]",Active,Description of the incident
"4cb1848d-9de8-4e42-bbc9-6b613a80c2b5",Vehicle-Charmi-123,2024-10-29 21:46:01.067,"38dc03c6-0fc2-41ae-8b49-0ffc54b07478",Medical,"[55.77945865952806,-7.817259182156035]",Active,Description of the incident
"823b99cc-489d-487c-b055-92ce156dc071",Vehicle-Charmi-123,2024-10-29 21:47:00.067,"943d88d3-291f-4564-9614-04c9de920092",Accident,"[55.7894880886939,-7.834781360616345]",Resolved,Description of the incident
b7dfd704-d7f1-457f-98f2-9bc526800897,Vehicle-Charmi-123,2024-10-29 21:47:49.067,"7c510929-ab33-4f38-9ba1-6065e7f346a9",Fire,"[55.79976016035159,-7.8519400149826515]",Resolved,Description of the incident
fda183e3-baa6-46e0-a89a-31f73dce5239,Vehicle-Charmi-123,2024-10-29 21:48:45.067,d3bb4137-6944-40d7-aa3a-272b4f71702b,Police,"[55.80910248613814,-7.869801619486734]",Resolved,Description of the incident
"4084facb-9220-4b6e-9308-3e43a86e9194",Vehicle-Charmi-123,2024-10-29 21:49:28.067,a59fe767-5076-4684-84cb-87ff1a3738c8,Medical,"[55.8186531112896,-7.8873971773541545]",Resolved,Description of the incident
